benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
207,4.0,92,Wegmans Food Markets, Company - Private,4.0,10000+ employees,10/21/18, 1916, Grocery Stores & Supermarkets, 2.7,565,"Rochester, NY",14,18,2202,68,82, $5 to $10 billion (USD) per year,I only left to secure a full time position in my current field Not a lot of upward mobility for part time employees,The allow for very flexible scheduling flexible hours and mostly nice people,10/23/17,,jobs.wegmans.com,
59,3.8,78,Nebraska Furniture Mart, Subsidiary or Business Segment,3.6,1001 to 5000 employees,10/21/18, 1937, Home Furniture & Housewares Stores, 2.8,66,"Omaha, NE",23,20,453,57,65, $1 to $2 billion (USD) per year,But the reality is that the average salesperson makes,NFM is a big enough company that they offer great benefits but small enough that they make you feel like a truly valued employee They also provide great benefits,10/23/17,,www.nfm.com,
174,4.0,92,Kronos Incorporated, Company - Private,4.0,5001 to 10000 employees,10/21/18, 1977, Computer Hardware & Software, 2.8,340,"Lowell, MA",23,11,1319,66,80, $1 to $2 billion (USD) per year,There are no cons to write about The work life balance can get a little out of hand as projects are very time sensitive,Kronos offers a flexible work life balance great work environment new office in Lowell is comfortable,10/23/17,,www.kronos.com,
82,4.2,100,Equity Residential, Company - Public (EQR) ,4.2,1001 to 5000 employees,10/21/18, 1993, Real Estate, 2.4,85,"Chicago, IL",8,15,578,77,81, $2 to $5 billion (USD) per year,Recent change in upper management change the whole company culture of Equity Work life balance can be difficult especially in the busy season,Great benefits and opportunity for sales growth work life balance conscious company,10/23/17,EQR,https://careers.equityapartments.com/,
102,4.2,72,Blizzard Entertainment, 1994,4.0,1001 to 5000 employees,10/21/18,, Subsidiary or Business Segment, 3.0,296,"Irvine, CA",22,15,761,63,75, Video Games,Rent in Irvine can be high and options for a social scene can be limited compared to Los Angeles Cost of living in the area is outrageous,Great work environment lots of support from the colleagues Surrounded by likeminded gamers even or manager level,10/23/17,,www.blizzard.com,
232,3.8,90,Cengage, Company - Private,4.0,1001 to 5000 employees,10/21/18, 2007, Publishing, 2.9,265,"Boston, MA",18,17,1285,65,78, $1 to $2 billion (USD) per year,In some cases they even created new positions for people who were personal friends with upper management To many reorgs when company numbers aren t met,Great work life balance with a comfortable working atmosphere Great mission and the great people,10/23/17,,www.cengage.com,
20,4.0,97,TaskUs, Company - Private,4.5,10000+ employees,10/21/18, 2008, Staffing & Outsourcing, 2.8,343,"Santa Monica, CA",6,4,1476,90,91, $50 to $100 million (USD) per year,None so far because TaskUs is a company where you can have fun while working I think Task Us has no downsides,The working environment is really different from the others that I have been so far The leaders stay true to their promise of putting the people first,10/23/17,,www.taskus.com,
150,4.0,94,NIH, Government,4.1,10000+ employees,10/21/18, 1887, Biotech & Pharmaceuticals, 2.6,168,"Bethesda, MD",3,17,968,80,88, Unknown / Non-Applicable,A moins de vouloir devenir PI en lien avec la clinique c est un institut de passage pour les postdocs Government red tape congress annual funding fights,Overall positive work environment It s truly a great place to work,10/23/17,,www.nih.gov,
595,4.5,93,Intuit, Company - Public (INTU) ,4.3,5001 to 10000 employees,10/21/18, 1983, Computer Hardware & Software, 3.0,"1,133","Mountain View, CA",24,16,4221,60,86, $2 to $5 billion (USD) per year,Some business units have less work life balance respect Too much pressure for middle management,The company has a good work life balance One of the best companies with great benefits,10/23/17,INTU,www.intuit.com,
107,4.1,97,E. & J. Gallo Winery, Company - Private,4.5,5001 to 10000 employees,10/21/18, 1933, Food & Beverage Manufacturing, 2.9,378,"Modesto, CA",10,12,451,78,92, $2 to $5 billion (USD),with a strong consumer focus Work life balance can be a challenging at times,Work Life Balance with many resources available Great people and products,10/23/17,,www.gallocareers.com,
193,3.9,98,NVIDIA, Company - Public (NVDA) ,4.6,10000+ employees,10/21/18, 1993, Computer Hardware & Software, 3.2,"1,089","Santa Clara, CA",17,24,809,59,94, $5 to $10 billion (USD) per year,Work life balance is sometimes a problem I found No cons as of working here,Great work culture free food cutting edge technology Good work environment good compensation,10/23/17,NVDA,www.nvidia.com,
67,3.9,93,Trilogy Health Services, Company - Private,4.3,10000+ employees,10/21/18, 1997, Health Care Services & Hospitals, 2.3,100,"Louisville, KY",15,10,673,75,86, Unknown / Non-Applicable,There are no cons to working here They are very short staffed as well,Great benefits weekly pay tuition reimbursement Clean environment competitive pay and great benefits,10/23/17,,www.trilogyjobs.com,
2670,4.4,97,Microsoft, Company - Public (MSFT) ,4.2,10000+ employees,10/21/18, 1975, Computer Hardware & Software, 3.1,"8,014","Redmond, WA",13,22,20565,65,87, $10+ billion (USD) per year,May need more work life balance but still managable Poor review system promotes mediocrity,They have a great work life balance with lots of flexibility Good salary Smart people Beautiful workplaces,10/23/17,MSFT,www.microsoft.com,
123,4.2,96,Illumina, Company - Public (ILMN) ,4.2,5001 to 10000 employees,10/21/18, 1998, Biotech & Pharmaceuticals, 3.1,548,"San Diego, CA",17,24,782,59,85, $2 to $5 billion (USD) per year,Work life balance growing faster than our resources Fast paced A lot of things change very rapidly internally so you d better catch up,It is an exciting fast paced company where things are always evolving care to employees welfare work life balance,10/23/17,ILMN,www.illumina.com,
66,4.3,93,Compass, Company - Private,4.3,1001 to 5000 employees,10/21/18, 2012, Enterprise Software & Network Solutions, 2.9,272,"New York, NY",44,11,463,45,86, $500 million to $1 billion (USD) per year,Fast paced but that is the beauty of it So far no cons that I have experienced personally,Great leadership team and mentorship Big company with a small business feel and company culture is awesome,10/23/17,,www.compass.com,
405,4.1,97,H E B, Company - Private,4.2,10000+ employees,10/21/18, 1905, Grocery Stores & Supermarkets, 2.5,772,"San Antonio, TX",11,14,3410,75,86, $10+ billion (USD) per year,full benefits are only for full time employees Part time hours can unreliable sometimes,Treated the partners fairly and good pay Flexible schedule vacation hours for part timers,10/23/17,,www.heb.com,
370,4.6,97,Adobe, Company - Public (ADBE) ,4.1,10000+ employees,10/21/18, 1982, Computer Hardware & Software, 3.1,"1,072","San Jose, CA",23,15,1141,62,84, $5 to $10 billion (USD) per year,i think there is no cons from my side Some Teams does not acheive work life balance,Awesome company with great work life balance Great benefits and good work life balance,10/23/17,ADBE,www.adobe.com,
201,4.6,88,Navy Federal Credit Union, Other Organization,4.0,10000+ employees,10/21/18, 1933, Banks & Credit Unions, 2.8,328,"Vienna, VA",15,14,951,71,82, Unknown / Non-Applicable,Work life balance needs some work Decisions made by upper management aren t always the best for the company,Great benefits for full time employee Amazing benefits great pay and amazing leadership,10/23/17,,www.navyfederal.org,
440,4.1,88,Delta Air Lines, Company - Public (DAL) ,4.2,10000+ employees,10/21/18, 1928, Airlines, 3.0,"2,721","Atlanta, GA",7,17,2588,76,86, $10+ billion (USD) per year,Specific co op position did not lead into full time opportunities for a similar position At the time Ready Reserve was 5 hours 5 days a week,Flight benefits are absolutely great travel benefits and corporate culture,10/23/17,DAL,www.deltajobs.net/career_destinations.htm,
519,4.3,96,SAP, Company - Public (SAP) ,4.5,10000+ employees,10/21/18, 1972, Computer Hardware & Software, 2.9,"2,184","Walldorf, Baden-Württemberg (Germany)",13,13,11342,74,92, $10+ billion (USD) per year,Work life balance sometimes is a problem Honestly no cons for this company,Good work life balance is encouraged Everything is good especially the work environment,10/23/17,SAP,www.sap.com/careers,
161,4.8,97,Fast Enterprises, Company - Private,4.3,1001 to 5000 employees,10/21/18, 1997, IT Services, 2.7,541,"Centennial, CO",10,15,719,75,86, $25 to $50 million (USD) per year, Might have to work long hours from time to time,You get the opportunity to work for a private company with great benefits while benefiting society Paid overtime,10/23/17,,www.fastenterprises.com,
